上川大雪,上川大雪 （かみかわたいせつ）,北海道,1位,上川大雪酒造,4.06点,( 327件 )
三千櫻,三千櫻 （みちざくら）,北海道,2位,三千櫻酒造,3.93点,( 296件 )
十勝,十勝 （とかち）,北海道,3位,上川大雪酒造,3.83点,( 249件 )
千歳鶴,千歳鶴 （ちとせつる）,北海道,4位,日本清酒,3.72点,( 200件 )
神川,神川 （かみかわ）,北海道,5位,上川大雪酒造,3.67点,( 48件 )
男山,男山 （おとこやま）,北海道,6位,男山,3.55点,( 230件 )
二世古,二世古 （にせこ）,北海道,6位,二世古酒造,3.55点,( 146件 )
北斗随想,北斗随想 （ほくとずいそう）,北海道,6位,小林酒造,3.55点,( 56件 )
郷宝,郷宝 （ごっほう）,北海道,9位,箱館醸蔵,3.50点,( 58件 )
北の勝,北の勝 （きたのかつ）,北海道,10位,碓氷勝三郎商店,3.42点,( 110件 )
五稜,五稜 （ごりょう）,北海道,11位,上川大雪酒造,3.41点,( 44件 )
国士無双,国士無双 （こくしむそう）,北海道,12位,高砂酒造,3.37点,( 108件 )
えぞ乃熊,えぞ乃熊 （えぞのくま）,北海道,12位,高砂酒造,3.37点,( 54件 )
十一州,十一州 （じゅういっしゅう）,北海道,14位,日本清酒,3.36点,( 38件 )
国稀,国稀 （くにまれ）,北海道,15位,國稀酒造,3.35点,( 142件 )
福司,福司 （ふくつかさ）,北海道,15位,福司酒造,3.35点,( 100件 )
北の錦,北の錦 （きたのにしき）,北海道,17位,小林酒造,3.32点,( 59件 )
宝川,宝川 （たからがわ）,北海道,18位,田中酒造,3.25点,( 23件 )
農家の酒,農家の酒 （のうかのさけ）,北海道,19位,高砂酒造,3.19点,( 14件 )
若蔵,若蔵 （わかぞう）,北海道,19位,高砂酒造,3.19点,( 13件 )
霧想雫,霧想雫 （むそうだ）,北海道,,福司酒造,3.17点,( 1件 )
大雪乃蔵,大雪乃蔵 （たいせつのくら）,北海道,,合同酒精旭川工場,3.15点,( 37件 )
金滴,金滴 （きんてき）,北海道,,金滴酒造,3.14点,( 23件 )
冬花火,冬花火 （ふゆはなび）,北海道,,小林酒造,3.13点,( 14件 )
ヒトツメ,ヒトツメ （ひとつめ）,北海道,,日本清酒,3.13点,( 10件 )
加藤と山田と小林と,加藤と山田と小林と。 （かとうとやまだとこばやしと。）,北海道,,小林酒造,3.13点,( 5件 )
Chateau TAISETSUNOKURA,Chateau TAISETSUNOKURA （シャトー タイセツノクラ）,北海道,,合同酒精旭川工場,3.12点,( 12件 )
上川,上川 （かみかわ）,北海道,,上川大雪酒造,3.12点,( 9件 )
十勝晴れ,十勝晴れ （とかちばれ）,北海道,,田中酒造,3.09点,( 7件 )
ずＺＯＯっと旭山,ずＺＯＯっと旭山 （ずっとあさひやま）,北海道,,高砂酒造,3.08点,( 15件 )
十勝晴れ,十勝晴れ （とかちばれ）,北海道,,上川大雪酒造,3.08点,( 4件 )
拾八,拾八 （じゅうはち）,北海道,,福司酒造,3.08点,( 1件 )
柴田,柴田 （しばた）,北海道,,日本清酒,3.07点,( 7件 )
北海鬼ごろし,北海鬼ごろし （ほっかいおにごろし）,北海道,,國稀酒造,3.06点,( 13件 )
まる田,まる田 （まるた）,北海道,,小林酒造,3.06点,( 13件 )
えぞの誉,えぞの誉 （えぞのほまれ）,北海道,,二世古酒造,3.06点,( 6件 )
搾,搾 （しぼり）,北海道,,田中酒造,3.06点,( 3件 )
旭神威,旭神威 （あさひかむい）,北海道,,高砂酒造,3.06点,( 3件 )
五色彩雲,五色彩雲 （ごしきのくも）,北海道,,福司酒造,3.06点,( 3件 )
太美,太美 （ふとみ）,北海道,,日本清酒,3.06点,( 3件 )
鰊御殿,鰊御殿 （にしんごてん）,北海道,,北の誉酒造,3.05点,( 12件 )
華味之至,華味之至 （しかみ）,北海道,,日本清酒,3.05点,( 5件 )
吉翔,吉翔 （きっしょう）,北海道,,日本清酒,3.05点,( 4件 )
耕人,耕人 （こうじん）,北海道,,小林酒造,3.05点,( 3件 )
夷恩,夷恩 （えびすのめぐみ）,北海道,,箱館醸蔵,3.05点,( 2件 )
北の微笑,北の微笑 （きたのほほえみ）,北海道,,金滴酒造,3.05点,( 1件 )
柴田酒造店,柴田酒造店 （しばたしゅぞうてん）,北海道,,日本清酒,3.04点,( 5件 )
雅乃詩,雅乃詩 （みやびのうた）,北海道,,合同酒精,3.04点,( 4件 )
瑞翔,瑞翔 （ずいしょう）,北海道,,日本清酒,3.04点,( 3件 )
奥尻,奥尻 （おくしり）,北海道,,小林酒造,3.04点,( 3件 )
日進月歩,日進月歩 （にっしんげっぽ）,北海道,,日本清酒,3.04点,( 1件 )
大法螺,大法螺 （おおぼら）,北海道,,高砂酒造,3.03点,( 6件 )
京極,京極 （きょうごく）,北海道,,二世古酒造,3.03点,( 3件 )
雪原の舞,雪原の舞 （せつげんのまい）,北海道,,日本清酒,3.03点,( 3件 )
小樽美人,小樽美人 （おたるびじん）,北海道,,田中酒造,3.03点,( 3件 )
丹頂鶴,丹頂鶴 （たんちょうづる）,北海道,,日本清酒,3.02点,( 7件 )
風のささやき,風のささやき （かぜのささやき）,北海道,,高砂酒造,3.02点,( 6件 )
新十津川,新十津川 （しんとつがわ）,北海道,,金滴酒造,3.02点,( 4件 )
今金彗星,今金彗星 （いまがねすいせい）,北海道,,二世古酒造,3.02点,( 3件 )
海底力,海底力 （そこぢから）,北海道,,福司酒造,3.02点,( 3件 )
親玉,親玉 （おやだま）,北海道,,北の誉酒造,3.02点,( 2件 )
あびら川,あびら川 （あびらがわ）,北海道,,二世古酒造,3.02点,( 2件 )
臥牛山,臥牛山 （がぎゅうざん）,北海道,,日本清酒,3.02点,( 2件 )
北見寒菊,北見寒菊 （きたみかんぎく）,北海道,,山田酒造,3.02点,( 1件 )
暑寒美人,暑寒美人 （しょっかんびじん）,北海道,,國稀酒造,3.02点,( 1件 )
亀甲蔵,亀甲蔵 （きっこうぐら）,北海道,,田中酒造,3.02点,( 1件 )
箱館慕情,箱館慕情 （はこだてぼじょう）,北海道,,高砂酒造,3.02点,( 1件 )
馬喰一代,馬喰一代 （ばくろういちだい）,北海道,,男山,3.02点,( 1件 )
開拓魂,開拓魂 （かいたくだましい）,北海道,,高砂酒造,3.02点,( 1件 )
大雪,大雪 （たいせつ）,北海道,,高砂酒造,3.01点,( 10件 )
法螺吹,法螺吹 （ほらふき）,北海道,,高砂酒造,3.01点,( 4件 )
北の一星,北の一星 （きたのいっせい）,北海道,,田中酒造,3.01点,( 3件 )
